"E. col"	239
"E. fcm"	-19
"E. fcs"	-188
"K. aer"	-8
"K. gri"	-32
"K. hua"	1
"K. mic"	-29
"K. orn"	-7
"K. oxy"	-9
"K. pla"	-4
"K. pne"	-32
"K. qps"	-1
"K. var"	-13
