accession	cluster	abundance	length_ave	score	read_count	total_bases	coverage	subsampled	coverage_final	notes	index
ERR3405969	E_col_Pop178	0.990069	5129371.8	1	4582566.575817641	1109714322	216.34507406930416	1	100.0	Warning: high coverage (216.34507406930416) so 2118174 reads were subsampled to reduce the coverage to 100	2.0
ERR3405971	E_col_Pop62	0.999937	4920500.263157895	1	2748736.9382839105	661840880	134.5068274775869	1	100	Warning: high coverage (134.5068274775869) so 2043566 reads were subsampled to reduce the coverage to 100	0.0
ERR3405972	E_col_Pop5	0.898328	5250600.386752137	1	409438.8186699711	99125138	18.878819696525376	0	18.878819696525376		0.0
ERR3405974	E_col_Pop4	0.569211	5141006.615289765	1	91277.26672171759	22107354	4.300199485106858	0	4.300199485106858	Warning: low coverage (4.300199485106858) so distances may not be accurate	4.0
ERR3405976	E_col_Pop10	0.423559	5098176.319672131	1	281925.53719008266	68225980	13.382428484620887	0	13.382428484620887		1.0
ERR3405976	E_col_Pop62	0.561234	4920500.263157895	1	372508.6586172676	90087494	18.308604650329467	0	18.308604650329467		3.0
ERR3405982	E_col_Pop2	0.879231	5164877.042972247	1	107289.72597069293	25919052	5.018328952335385	0	5.018328952335385	Warning: low coverage (5.018328952335385) so distances may not be accurate	10.0
ERR3405983	E_col_Pop4	0.913736	5141006.615289765	1	177346.34550120024	42850424	8.335026038005749	0	8.335026038005749	Warning: low coverage (8.335026038005749) so distances may not be accurate	4.0
ERR3405984	E_col_Pop6	1.05155e-05	4965438.799528302	1	87622.45556014882	21195872	4.268680544811776	0	4.268680544811776	Warning: low coverage (4.268680544811776) so distances may not be accurate	1.0
ERR3405985	E_col_Pop4	0.985888	5141006.615289765	1	3688397.1317573152	892444570	173.59335180503336	1	100	Warning: high coverage (173.59335180503336) so 2124734 reads were subsampled to reduce the coverage to 100	0.0
ERR3405986	E_col_Pop57	0.956647	4986456.090909091	1	5757431.662945505	1392492422	279.25492506365015	1	100	Warning: high coverage (279.25492506365015) so 2061711 reads were subsampled to reduce the coverage to 100	2.0
ERR3405988	E_col_Pop256	0.999943	5034072.0	1	1827628.7121337529	441628202	87.72782788962891	0	87.72782788962891		1.0
ERR3405989	E_col_Pop168	0.518368	4943447.8	1	503466.0003304147	121899188	24.658738785509176	0	24.658738785509176		48.0
ERR3405990	E_col_Pop101	0.848358	4902775.2	1	1681873.3823650938	407046996	83.02379354452148	0	83.02379354452148		50.0
ERR3405990	E_col_Pop16	1.88336e-06	4959581.919354838	1	983359.5411628293	237461662	47.879370854487256	0	47.879370854487256		13.0
ERR3405990	E_col_Pop8	1.02886e-06	5408131.378181818	1	973897.5227837614	235098862	43.471366644025366	0	43.471366644025366		0.0
ERR3405991	E_col_Pop89	0.984667	4864149.583333333	1	1512735.678267339	365991270	75.24260176003702	0	75.24260176003702		2.0
ERR3405992	E_col_Pop2	0.15475	5164877.042972247	1	106328.46727423364	25667692	4.969661772476376	0	4.969661772476376	Warning: low coverage (4.969661772476376) so distances may not be accurate	8.0
ERR3405992	E_col_Pop6	7.68238e-06	4965438.799528302	1	154768.53969832588	37348744	7.521740878882244	0	7.521740878882244	Warning: low coverage (7.521740878882244) so distances may not be accurate	1.0
ERR3405993	E_col_Pop20	0.750389	5266551.488636363	1	637480.8503598312	154130120	29.26585268036713	0	29.26585268036713		2.0
ERR3405994	E_col_Pop10	0.809971	5098176.319672131	1	168024.68004293618	40698938	7.9830385314365495	0	7.9830385314365495	Warning: low coverage (7.9830385314365495) so distances may not be accurate	9.0
ERR3405995	E_col_Pop20	0.0954889	5266551.488636363	1	146411.33013085971	35355408	6.713198964500082	0	6.713198964500082	Warning: low coverage (6.713198964500082) so distances may not be accurate	5.0
ERR3405995	E_col_Pop4	0.198114	5141006.615289765	1	165729.15943466403	40103142	7.800640030442685	0	7.800640030442685	Warning: low coverage (7.800640030442685) so distances may not be accurate	1.0
ERR3405995	E_col_Pop5	0.432147	5250600.386752137	1	315354.54695630627	76359950	14.54308924226358	0	14.54308924226358		9.0
ERR3405996	E_col_Pop2	0.206055	5164877.042972247	1	238098.2842934107	57453116	11.123810987557853	0	11.123810987557853		3.0
ERR3405996	E_col_Pop21	0.33158	5080317.604651162	1	587178.6518714806	141815388	27.91466971871293	0	27.91466971871293		38.0
ERR3405996	E_col_Pop29	0.0164647	4939488.852459016	1	533293.2576824318	128768990	26.06929458619897	0	26.06929458619897		18.0
ERR3405998	E_col_Pop6	3.25627e-05	4965438.799528302	1	145052.63071222726	35233284	7.095704009753787	0	7.095704009753787	Warning: low coverage (7.095704009753787) so distances may not be accurate	1.0
ERR3405999	E_col_Pop41	0.542787	5330580.441860465	1	1882781.1114786635	455331784	85.41879987858907	0	85.41879987858907		3.0
ERR3405999	E_col_Pop9	0.050955	5150824.203636364	1	389483.03423064144	93756356	18.202204597433195	0	18.202204597433195		1.0
ERR3406000	E_col_Pop20	0.14737	5266551.488636363	1	678807.7574047955	163633398	31.070312015950424	0	31.070312015950424		1.0
ERR3406000	E_col_Pop27	0.366746	4968461.565217392	1	1166241.8214996683	281204228	56.59784710193207	0	56.59784710193207		2.0
ERR3406000	E_col_Pop9	0.417567	5150824.203636364	1	1285412.0089507708	310195626	60.22252240350369	0	60.22252240350369		0.0
ERR3406001	E_col_Pop9	0.999856	5150824.203636364	1	535669.9277148021	130424914	25.32117363041103	0	25.32117363041103		2.0
ERR3406002	E_col_Pop58	0.961408	4968105.571428572	1	634529.3709757306	153733776	30.944144360401356	0	30.944144360401356		16.0
ERR3406003	E_col_Pop206	6.19929e-06	4699136.75	1	121909.73671137606	29448516	6.266792725280872	0	6.266792725280872	Warning: low coverage (6.266792725280872) so distances may not be accurate	62.0
