id	cluster	assembly
538369494	Streptococcus_anginosus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/538369494.fasta.gz
311277332	Enterobacter_lignolyticus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/311277332.fasta.gz
392427891	Streptococcus_intermedius	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/392427891.fasta.gz
538349851	Streptococcus_intermedius	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/538349851.fasta.gz
538379295	Streptococcus_intermedius	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/538379295.fasta.gz
392987295	Enterococcus_hirae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/392987295.fasta.gz
163119169	Bacillus_licheniformis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/163119169.fasta.gz
511060863	Bacillus_licheniformis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/511060863.fasta.gz
52783855	Bacillus_licheniformis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/52783855.fasta.gz
294496875	Bacillus_megaterium	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/294496875.fasta.gz
295702242	Bacillus_megaterium	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/295702242.fasta.gz
384044176	Bacillus_megaterium	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/384044176.fasta.gz
527329219	Streptococcus_lutetiensis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/527329219.fasta.gz
116493574	Lactobacillus_casei	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/116493574.fasta.gz
191636824	Lactobacillus_casei	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/191636824.fasta.gz
301065125	Lactobacillus_casei	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/301065125.fasta.gz
385818534	Lactobacillus_casei	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385818534.fasta.gz
385821700	Lactobacillus_casei	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385821700.fasta.gz
409995665	Lactobacillus_casei	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/409995665.fasta.gz
523512490	Lactobacillus_casei	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/523512490.fasta.gz
116628683	Lactobacillus_gasseri	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/116628683.fasta.gz
184154476	Lactobacillus_fermentum	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/184154476.fasta.gz
385811786	Lactobacillus_fermentum	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385811786.fasta.gz
501673812	Lactobacillus_fermentum	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/501673812.fasta.gz
385839818	Lactobacillus_salivarius	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385839818.fasta.gz
90960990	Lactobacillus_salivarius	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/90960990.fasta.gz
16802048	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/16802048.fasta.gz
217963303	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/217963303.fasta.gz
226222639	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/226222639.fasta.gz
284993440	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/284993440.fasta.gz
386006713	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386006713.fasta.gz
386025288	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386025288.fasta.gz
386042347	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386042347.fasta.gz
386045634	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386045634.fasta.gz
386048930	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386048930.fasta.gz
386052273	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386052273.fasta.gz
386730761	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386730761.fasta.gz
404279552	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/404279552.fasta.gz
404282430	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/404282430.fasta.gz
404285367	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/404285367.fasta.gz
404406483	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/404406483.fasta.gz
404409239	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/404409239.fasta.gz
404412106	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/404412106.fasta.gz
405748335	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/405748335.fasta.gz
405751204	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/405751204.fasta.gz
405754079	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/405754079.fasta.gz
405756987	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/405756987.fasta.gz
406702775	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/406702775.fasta.gz
424712850	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/424712850.fasta.gz
525721265	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/525721265.fasta.gz
525732797	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/525732797.fasta.gz
525865813	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/525865813.fasta.gz
525869762	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/525869762.fasta.gz
525877702	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/525877702.fasta.gz
525886094	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/525886094.fasta.gz
525896797	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/525896797.fasta.gz
525916939	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/525916939.fasta.gz
525924641	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/525924641.fasta.gz
525929673	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/525929673.fasta.gz
525934212	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/525934212.fasta.gz
550896179	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/550896179.fasta.gz
662858600	Listeria_monocytogenes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/662858600.fasta.gz
227831830	Corynebacterium_aurimucosum	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/227831830.fasta.gz
375289729	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/375289729.fasta.gz
375291975	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/375291975.fasta.gz
376241700	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/376241700.fasta.gz
376244562	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/376244562.fasta.gz
376247367	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/376247367.fasta.gz
376250168	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/376250168.fasta.gz
376253128	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/376253128.fasta.gz
376256018	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/376256018.fasta.gz
376283503	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/376283503.fasta.gz
376286528	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/376286528.fasta.gz
376289208	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/376289208.fasta.gz
376292118	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/376292118.fasta.gz
38232642	Corynebacterium_diphtheriae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/38232642.fasta.gz
295129529	Propionibacterium_acnes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/295129529.fasta.gz
365961730	Propionibacterium_acnes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/365961730.fasta.gz
365963975	Propionibacterium_acnes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/365963975.fasta.gz
365972921	Propionibacterium_acnes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/365972921.fasta.gz
386022942	Propionibacterium_acnes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386022942.fasta.gz
386069650	Propionibacterium_acnes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386069650.fasta.gz
387502364	Propionibacterium_acnes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/387502364.fasta.gz
407934369	Propionibacterium_acnes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/407934369.fasta.gz
482889214	Propionibacterium_acnes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/482889214.fasta.gz
50841496	Propionibacterium_acnes	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/50841496.fasta.gz
488650489	Streptococcus_oligofermentans	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/488650489.fasta.gz
336063372	Streptococcus_pasteurianus	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/336063372.fasta.gz
323356448	Microbacterium_testaceum	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/323356448.fasta.gz
311111670	Rothia_dentocariosa	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/311111670.fasta.gz
342162671	Streptococcus_pseudopneumoniae	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/342162671.fasta.gz
336324561	Corynebacterium_resistens	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/336324561.fasta.gz
289549371	Staphylococcus_lugdunensis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/289549371.fasta.gz
385782956	Staphylococcus_lugdunensis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/385782956.fasta.gz
289166909	Streptococcus_mitis	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/289166909.fasta.gz
156932229	Cronobacter_sakazakii	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/156932229.fasta.gz
389839000	Cronobacter_sakazakii	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/389839000.fasta.gz
449306535	Cronobacter_sakazakii	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/449306535.fasta.gz
565643472	Cronobacter_sakazakii	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/565643472.fasta.gz
319891290	Staphylococcus_pseudintermedius	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/319891290.fasta.gz
386318029	Staphylococcus_pseudintermedius	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/386318029.fasta.gz
269797069	Veillonella_parvula	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/269797069.fasta.gz
148545259	Pseudomonas_putida	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/148545259.fasta.gz
167031021	Pseudomonas_putida	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/167031021.fasta.gz
170719187	Pseudomonas_putida	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/170719187.fasta.gz
26986745	Pseudomonas_putida	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/26986745.fasta.gz
339484941	Pseudomonas_putida	/lustre/scratch118/infgen/team312/ht8/coco/ref/all_species/setup/assemblies/339484941.fasta.gz
