PopPUNK	Cluster
K_pne_Pop137	K_pne_SC137_ST515
K_pne_Pop138	K_pne_SC138_ST420
K_pne_Pop139	K_pne_SC139_ST212
K_pne_Pop140	K_pne_SC140_ST276
K_pne_Pop141	K_pne_SC141_ST248
K_pne_Pop142	K_pne_SC142_ST4272
K_pne_Pop143	K_pne_SC143_ST126
K_pne_Pop144	K_pne_SC144_ST3057
K_pne_Pop145	K_pne_SC145_ST191
K_pne_Pop146	K_pne_SC146_ST225
K_pne_Pop147	K_pne_SC147_ST1836
K_pne_Pop148	K_pne_SC148_ST632
K_pne_Pop149	K_pne_SC149_ST2552
K_pne_Pop150	K_pne_SC150_ST4112
K_pne_Pop151	K_pne_SC151_ST3174
K_pne_Pop152	K_pne_SC152_ST1564
K_pne_Pop153	K_pne_SC153_ST967
K_pne_Pop154	K_pne_SC154_ST380
K_pne_Pop155	K_pne_SC155_ST1634
K_pne_Pop156	K_pne_SC156_ST1750
K_pne_Pop157	K_pne_SC157_ST2467
K_pne_Pop158	K_pne_SC158_ST1743
K_pne_Pop159	K_pne_SC159_ST116
K_pne_Pop160	K_pne_SC160_ST24
K_pne_Pop161	K_pne_SC161_ST160
K_pne_Pop162	K_pne_SC162_ST276
K_pne_Pop163	K_pne_SC163_ST1427
K_pne_Pop164	K_pne_SC164_ST2411
K_pne_Pop165	K_pne_SC165_ST2850
K_pne_Pop166	K_pne_SC166_ST198
K_pne_Pop167	K_pne_SC167_ST606
K_pne_Pop168	K_pne_SC168_ST1629
K_pne_Pop169	K_pne_SC169_ST1623
K_pne_Pop170	K_pne_SC170_ST3767
K_pne_Pop171	K_pne_SC171_ST162
K_pne_Pop172	K_pne_SC172_ST634
K_pne_Pop173	K_pne_SC173_ST2029
K_pne_Pop174	K_pne_SC174_ST45
K_pne_Pop175	K_pne_SC175_ST3164
K_pne_Pop176	K_pne_SC176_ST1593
K_pne_Pop177	K_pne_SC177_ST879
K_pne_Pop178	K_pne_SC178_ST882
K_pne_Pop179	K_pne_SC179_ST370
K_pne_Pop180	K_pne_SC180_ST17
K_pne_Pop181	K_pne_SC181_ST172
K_pne_Pop182	K_pne_SC182_ST3172
