PopPUNK	Cluster
E_fcm_Pop128	E_fcm_SC128_ST78
E_fcm_Pop129	E_fcm_SC129_ST22
E_fcm_Pop130	E_fcm_SC130_ST911
E_fcm_Pop131	E_fcm_SC131_ST944
E_fcm_Pop132	E_fcm_SC132_ST78
E_fcm_Pop133	E_fcm_SC133_ST271
E_fcm_Pop134	E_fcm_SC134_ST192
E_fcm_Pop135	E_fcm_SC135_ST18
E_fcm_Pop136	E_fcm_SC136_ST791
E_fcm_Pop137	E_fcm_SC137_ST39
E_fcm_Pop138	E_fcm_SC138_ST253
E_fcm_Pop139	E_fcm_SC139_STNA
E_fcm_Pop140	E_fcm_SC140_STNA
E_fcm_Pop141	E_fcm_SC141_ST1533
E_fcm_Pop142	E_fcm_SC142_ST1244
E_fcm_Pop143	E_fcm_SC143_ST830
E_fcm_Pop144	E_fcm_SC144_ST94
E_fcm_Pop145	E_fcm_SC145_ST60
E_fcm_Pop146	E_fcm_SC146_ST800
E_fcm_Pop147	E_fcm_SC147_ST512
E_fcm_Pop148	E_fcm_SC148_ST18
E_fcm_Pop149	E_fcm_SC149_ST1533
E_fcm_Pop150	E_fcm_SC150_ST22
E_fcm_Pop151	E_fcm_SC151_STNA
E_fcm_Pop152	E_fcm_SC152_ST1116
E_fcm_Pop153	E_fcm_SC153_ST1238
E_fcm_Pop154	E_fcm_SC154_ST785
E_fcm_Pop155	E_fcm_SC155_ST280
E_fcm_Pop156	E_fcm_SC156_ST17
E_fcm_Pop157	E_fcm_SC157_ST247
E_fcm_Pop158	E_fcm_SC158_ST17
E_fcm_Pop159	E_fcm_SC159_ST65
E_fcm_Pop160	E_fcm_SC160_ST666
E_fcm_Pop161	E_fcm_SC161_ST668
E_fcm_Pop162	E_fcm_SC162_ST173
E_fcm_Pop163	E_fcm_SC163_ST214
E_fcm_Pop164	E_fcm_SC164_ST898
E_fcm_Pop165	E_fcm_SC165_ST667
E_fcm_Pop166	E_fcm_SC166_ST203
E_fcm_Pop167	E_fcm_SC167_ST25
E_fcm_Pop168	E_fcm_SC168_ST113
E_fcm_Pop169	E_fcm_SC169_ST114
E_fcm_Pop170	E_fcm_SC170_ST384
E_fcm_Pop171	E_fcm_SC171_ST17
E_fcm_Pop172	E_fcm_SC172_ST17
E_fcm_Pop173	E_fcm_SC173_ST20
E_fcm_Pop174	E_fcm_SC174_ST751
E_fcm_Pop175	E_fcm_SC175_ST284
E_fcm_Pop176	E_fcm_SC176_ST900
