PopPUNK	Cluster
E_fcs_Pop128	E_fcs_SC128_ST692
E_fcs_Pop129	E_fcs_SC129_STNA
E_fcs_Pop130	E_fcs_SC130_STNA
E_fcs_Pop131	E_fcs_SC131_ST749
E_fcs_Pop132	E_fcs_SC132_STNA
E_fcs_Pop133	E_fcs_SC133_ST108
E_fcs_Pop134	E_fcs_SC134_ST708
E_fcs_Pop135	E_fcs_SC135_ST650
E_fcs_Pop136	E_fcs_SC136_STNA
E_fcs_Pop137	E_fcs_SC137_ST65
E_fcs_Pop138	E_fcs_SC138_STNA
E_fcs_Pop139	E_fcs_SC139_ST5
E_fcs_Pop140	E_fcs_SC140_ST521
E_fcs_Pop141	E_fcs_SC141_ST520
E_fcs_Pop142	E_fcs_SC142_STNA
E_fcs_Pop143	E_fcs_SC143_STNA
E_fcs_Pop144	E_fcs_SC144_STNA
E_fcs_Pop145	E_fcs_SC145_STNA
E_fcs_Pop146	E_fcs_SC146_ST237
E_fcs_Pop147	E_fcs_SC147_STNA
E_fcs_Pop148	E_fcs_SC148_STNA
E_fcs_Pop149	E_fcs_SC149_ST258
E_fcs_Pop150	E_fcs_SC150_STNA
E_fcs_Pop151	E_fcs_SC151_STNA
E_fcs_Pop152	E_fcs_SC152_ST639
E_fcs_Pop153	E_fcs_SC153_ST624
E_fcs_Pop154	E_fcs_SC154_ST446
E_fcs_Pop155	E_fcs_SC155_ST151
E_fcs_Pop156	E_fcs_SC156_ST258
E_fcs_Pop157	E_fcs_SC157_ST768
E_fcs_Pop158	E_fcs_SC158_ST376
E_fcs_Pop159	E_fcs_SC159_STNA
E_fcs_Pop160	E_fcs_SC160_STNA
E_fcs_Pop161	E_fcs_SC161_STNA
E_fcs_Pop162	E_fcs_SC162_STNA
E_fcs_Pop163	E_fcs_SC163_ST610
E_fcs_Pop164	E_fcs_SC164_ST855
E_fcs_Pop165	E_fcs_SC165_ST180
E_fcs_Pop166	E_fcs_SC166_STNA
E_fcs_Pop167	E_fcs_SC167_STNA
E_fcs_Pop168	E_fcs_SC168_ST697
